,Player Name,Team,Games,Innings Pitched,Starts,Quality Starts,Quality Start %,K/BB,K/9IP,BB/9IP,HR/9IP,Batting Avg on Balls IP,Strand Rate,FB VLO,ERA,Fielding Ind Pitching
139,"Devenski, Chris",HOU,17,50.3,4,2,50.0,3.38,7.87,2.32,0.36,.280,78.4,91.8,2.32,2.77
140,"Ramirez, Erasmo",TB,31,50.3,1,0,0.0,3.00,6.44,2.15,1.43,.293,76.8,91.1,3.75,4.57
141,"Manaea, Sean",OAK,9,49.3,9,3,33.3,2.50,7.30,2.92,1.46,.322,60.3,92.0,6.02,4.69
142,"Gee, Dillon",KC,15,49.0,4,0,0.0,2.33,7.71,3.31,1.84,.338,82.1,90.0,4.04,5.28
143,"Perez, Williams",ATL,9,48.7,9,3,33.3,1.64,4.25,2.59,0.74,.264,61.8,91.2,4.62,4.22
144,"De La Rosa, Jorge",COL,12,48.7,9,3,33.3,2.04,9.06,4.44,2.03,.338,65.2,90.2,6.47,5.65
145,"Chacin, Jhoulys",LAA,9,48.3,9,3,33.3,1.17,5.03,4.28,0.74,.305,62.0,90.0,5.77,4.63
146,"De La Rosa, Rubby",ARI,11,47.7,8,4,50.0,3.27,9.25,2.83,1.32,.279,68.8,94.6,4.15,4.03
147,"Perdomo, Luis",SD,19,47.0,4,1,25.0,1.87,8.23,4.40,1.72,.428,57.8,94.1,9.00,5.38
148,"McCullers, Lance",HOU,8,46.0,8,3,37.5,1.93,10.96,5.67,0.20,.389,75.0,93.4,3.91,3.00
149,"Bradley, Archie",ARI,8,46.0,8,3,37.5,2.04,9.59,4.70,1.37,.284,71.4,93.0,4.50,4.67
150,"Stripling, Ross",LAD,9,45.7,8,3,37.5,1.89,6.70,3.55,0.59,.302,66.1,90.2,4.53,3.79
151,"Montgomery, Mike",SEA,28,45.3,0,0,0.0,2.73,8.14,2.98,0.20,.275,77.1,94.0,2.38,2.70
152,"Villanueva, Carlos",SD,31,45.0,0,0,0.0,6.50,7.80,1.20,1.60,.307,82.2,88.1,3.20,4.19
153,"Friedrich, Christian",SD,8,45.0,8,4,50.0,1.44,7.20,5.00,0.80,.311,78.8,89.5,3.60,4.48
154,"Feldman, Scott",HOU,20,44.0,4,1,25.0,2.46,6.55,2.66,1.02,.313,81.8,89.9,3.07,4.14
155,"Anderson, Cody",CLE,9,43.3,8,2,25.0,4.50,7.48,1.66,2.28,.376,58.3,94.0,7.48,5.41
156,"Brach, Brad",BAL,34,42.7,0,0,0.0,3.85,10.55,2.74,0.63,.221,93.9,94.3,1.05,2.71
157,"Phelps, David",MIA,37,41.0,0,0,0.0,4.00,10.54,2.63,0.44,.293,77.5,93.4,2.41,2.40
158,"Worley, Vance",BAL,17,40.7,2,0,0.0,2.54,7.30,2.88,0.66,.323,82.7,88.7,2.66,3.53
159,"Hand, Brad",SD,35,40.3,0,0,0.0,2.17,11.16,5.13,0.67,.320,75.5,92.4,3.57,3.46
160,"Verrett, Logan",NYM,19,40.3,4,2,50.0,1.72,6.92,4.02,1.34,.291,76.9,90.8,4.02,4.98
161,"Neris, Hector",PHI,39,40.3,0,0,0.0,3.20,10.71,3.35,1.12,.251,81.1,93.2,2.68,3.58
162,"Pressly, Ryan",MIN,37,40.3,0,0,0.0,2.60,8.70,3.35,1.12,.293,71.7,94.7,4.02,4.03
163,"Petit, Yusmeiro",WAS,19,40.0,1,1,100.0,3.88,6.98,1.80,1.58,.248,82.9,88.5,2.93,4.55
164,"Dull, Ryan",OAK,34,39.0,0,0,0.0,5.25,9.69,1.85,1.15,.209,80.8,90.7,2.31,3.35
165,"Dean, Pat",MIN,8,39.0,6,3,50.0,1.87,6.46,3.46,1.38,.339,68.4,89.0,5.54,4.96
166,"Surkamp, Eric",OAK,9,38.7,9,1,11.1,1.05,5.12,4.89,1.86,.351,67.6,88.8,6.98,6.44
167,"Ramos, Cesar",TEX,11,38.7,4,2,50.0,1.50,5.59,3.72,1.63,.314,78.2,88.1,4.42,5.59
168,"Blanton, Joe",LAD,34,38.7,0,0,0.0,3.80,8.84,2.33,1.16,.165,75.0,91.2,2.56,3.72
169,"Gibson, Kyle",MIN,7,38.7,7,2,28.6,1.29,5.12,3.96,1.16,.315,63.2,91.0,6.05,5.11
170,"Rodriguez, Fernando",OAK,30,38.3,0,0,0.0,3.00,8.45,2.82,0.47,.257,70.3,92.9,3.05,2.97
171,"Griffin, A.J.",TEX,7,38.0,7,4,57.1,2.27,8.05,3.55,0.71,.255,75.0,88.3,3.08,3.66
172,"Oh, Seung Hwan",STL,37,38.0,0,0,0.0,6.38,12.08,1.89,0.24,.272,79.3,92.4,1.66,1.51
173,"Tonkin, Michael",MIN,33,37.7,0,0,0.0,3.38,10.51,3.11,1.19,.325,74.4,93.8,3.82,3.66
174,"Familia, Jeurys",NYM,38,37.3,0,0,0.0,3.18,8.44,2.65,0.00,.320,72.7,95.9,2.89,2.24
175,"Dyson, Sam",TEX,39,37.3,0,0,0.0,3.63,6.99,1.93,0.24,.261,80.0,95.7,1.93,2.66
176,"Torres, Carlos",MIL,32,37.0,0,0,0.0,2.12,8.76,4.14,1.22,.283,77.3,91.3,3.65,4.44
177,"Suarez, Albert",SF,10,36.7,4,1,25.0,2.56,5.65,2.21,0.74,.265,68.4,92.0,3.68,3.77
178,"Schugel, AJ",PIT,23,36.3,0,0,0.0,4.71,8.17,1.73,0.74,.295,63.9,0.0,3.96,3.05
179,"Betances, Dellin",NYY,37,36.3,0,0,0.0,8.25,16.35,1.98,0.74,.387,71.0,97.3,2.97,1.32
180,"Barnes, Matt",BOS,28,36.3,0,0,0.0,2.00,8.92,4.46,0.99,.304,80.9,96.6,3.22,4.19
181,"Robles, Hansel",NYM,33,36.3,0,0,0.0,2.75,10.90,3.96,1.24,.316,83.7,94.4,2.97,3.93
182,"Delgado, Randall",ARI,32,36.3,0,0,0.0,1.79,8.42,4.71,0.74,.325,76.9,91.9,3.72,4.02
183,"Oberholtzer, Brett",PHI,17,36.0,0,0,0.0,1.71,7.25,4.25,2.50,.326,76.9,88.8,5.50,6.66
184,"Herrera, Kelvin",KC,36,35.7,0,0,0.0,7.33,11.10,1.51,0.50,.298,86.7,97.4,1.51,1.98
185,"Hernandez, David",PHI,35,35.7,0,0,0.0,3.00,11.36,3.79,1.26,.365,74.5,93.9,4.29,3.80
186,"Maurer, Brandon",SD,37,35.7,0,0,0.0,2.50,11.36,4.54,1.51,.335,60.9,95.3,6.06,4.43
187,"Vincent, Nick",SEA,34,35.3,0,0,0.0,4.67,10.70,2.29,1.27,.276,77.4,90.3,3.06,3.45
