"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"2B/SS","Emmanuel Burriss",2000,"Phi@SF 04:05PM ET",1.259,"Phi"
"OF","Cedric Hunter",2000,"Phi@SF 04:05PM ET",2.154,"Phi"
"3B","Cole Figueroa",2000,"LAD@Pit 08:08PM ET",1.087,"Pit"
"1B/2B","Grant Green",2000,"Phi@SF 04:05PM ET",0,"SF"
"OF","Tommy Pham",2000,"StL@Sea 04:10PM ET",1.429,"StL"
"OF","Gorkys Hernandez",2000,"Phi@SF 04:05PM ET",0,"SF"
"2B/3B","Elian Herrera",2000,"LAD@Pit 08:08PM ET",0,"LAD"
"C","Eric Fryer",2000,"StL@Sea 04:10PM ET",3.174,"StL"
"OF","David Lough",2000,"Phi@SF 04:05PM ET",3.533,"Phi"
"C","Jesus Sucre",2000,"StL@Sea 04:10PM ET",0,"Sea"
"1B/OF","Efren Navarro",2000,"StL@Sea 04:10PM ET",0,"Sea"
"1B/3B","Conor Gillaspie",2000,"Phi@SF 04:05PM ET",2.500,"SF"
"OF","Daniel Robertson",2000,"StL@Sea 04:10PM ET",0,"Sea"
"2B/OF","Rafael Ynoa",2000,"Ari@Col 04:10PM ET",0,"Col"
"1B/OF","Darin Ruf",2000,"Phi@SF 04:05PM ET",1.645,"Phi"
"2B/OF","Darnell Sweeney",2000,"Phi@SF 04:05PM ET",0,"Phi"
"C","Elias Diaz",2000,"LAD@Pit 08:08PM ET",0,"Pit"
"OF","Stefen Romero",2000,"StL@Sea 04:10PM ET",2.125,"Sea"
"C","Cody Stanley",2000,"StL@Sea 04:10PM ET",0,"StL"
"SS","Alen Hanson",2000,"LAD@Pit 08:08PM ET",1.667,"Pit"
"1B","Jason Rogers",2000,"LAD@Pit 08:08PM ET",2.600,"Pit"
"C","Jorge Alfaro",2000,"Phi@SF 04:05PM ET",0,"Phi"
"OF","Josh Bell",2000,"LAD@Pit 08:08PM ET",0,"Pit"
"OF","Roman Quinn",2000,"Phi@SF 04:05PM ET",0,"Phi"
"OF/SS","Adam Frazier",2000,"LAD@Pit 08:08PM ET",1.500,"Pit"
"3B/OF","Alex Guerrero",2000,"LAD@Pit 08:08PM ET",0,"LAD"
